index,mid,display_name
0,/m/spcmd00,"backward"
1,/m/spcmd01,"follow"
2,/m/spcmd02,"five"
3,/m/spcmd03,"bed"
4,/m/spcmd04,"zero"
5,/m/spcmd05,"on"
6,/m/spcmd06,"learn"
7,/m/spcmd07,"two"
8,/m/spcmd08,"house"
9,/m/spcmd09,"tree"
10,/m/spcmd10,"dog"
11,/m/spcmd11,"stop"
12,/m/spcmd12,"seven"
13,/m/spcmd13,"eight"
14,/m/spcmd14,"down"
15,/m/spcmd15,"six"
16,/m/spcmd16,"forward"
17,/m/spcmd17,"cat"
18,/m/spcmd18,"right"
19,/m/spcmd19,"visual"
20,/m/spcmd20,"four"
21,/m/spcmd21,"wow"
22,/m/spcmd22,"no"
23,/m/spcmd23,"nine"
24,/m/spcmd24,"off"
25,/m/spcmd25,"three"
26,/m/spcmd26,"left"
27,/m/spcmd27,"marvin"
28,/m/spcmd28,"yes"
29,/m/spcmd29,"up"
30,/m/spcmd30,"sheila"
31,/m/spcmd31,"happy"
32,/m/spcmd32,"bird"
33,/m/spcmd33,"go"
34,/m/spcmd34,"one"
